first_name,korean
A.J.,A.J.
Aaron,애런
Abner,앱너
Adam,아담
Addison,애디슨
Adley,애들리
Adolis,아도리스
Adrian,에이드리언
Agustin,아구스틴
Ah-seop,아섭
AJ,AJ
Akil,아킬
Alec,알렉
Alejandro,알레한드로
Alek,알렉
Alex,알렉스
Amed,아메드
An-seok,안석
Anders,앤더스
Andre,안드레
Andres,안드레스
Andrew,앤드류
Andruw,앤드루
Andy,앤디
Angel,엔젤
Anthony,앤서니
Antonio,안토니오
Ariel,아리엘
Aroldis,아롤디스
Austin,오스틴
Baek-ho,백호
Baek-san,백산
Bailey,베일리
Beau,보
Been,빈
Ben,벤
Bennett,베넷
Beom-joon,범준
Beom-seok,범석
Beom-soo,범수
Billy,빌리
Blaine,블레인
Blake,블레이크
Blaze,블레이즈
Bo,보
Bo-geun,보근
Bo-kyung,보경
Bobby,바비
Bon-hyuk,본혁
Bowden,보우덴
Brad,브래드
Bradgley,브래들리
Brady,브래디
Brandon,브랜든
Brandyn,브랜든
Brant,브란트
Braxton,브랙스턴
Brayan,브라얀
Braydon,브레이든
Brendan,브렌단
Brendon,브렌든
Brent,브렌트
Brenton,브렌턴
Brett,브렛
Brice,브라이스
Brock,브록
Brooks,브룩스
Brusdar,브루스더
Bryan,브라이언
Bryce,브라이스
Bryse,브라이스
Bryson,브라이슨
Bu-seong,부성
Bubba,버바
Buck,벅
Byeong-wuk,병욱
Byron,바이런
Byung-heon,병헌
Byung-hui,병희
Byung-hyun,병현
Byung-joon,병준
Byung-seon,병선
Byung-woo,병우
Cade,케이드
Cal,칼
Caleb,케일럽
Calvin,캘빈
Cam,캠
Camilo,카미요
Carlos,카를로스
Carmen,카멘
Carson,카슨
Carter,카터
Casey,케이시
Ceddanne,세단
Cedric,세드릭
Cha-hyun,차현
Chad,채드
Chae-ho,채호
Chae-wool,채울
Chan-eui,찬의
Chan-hee,찬희
Chan-ho,찬호
Chan-hwa,찬화
Chan-hyuk,찬혁
Chan-hyung,찬형
Chan-kyu,찬규
Chan-min,찬민
Chan-seung,찬승
Chandler,챈들러
Chang-hoon,창훈
Chang-jin,창진
Chang-ki,창기
Chang-kun,창근
Chang-mo,창모
Chang-pyung,창평
Chang-sup,창섭
Chang-yeon,창연
Chang-yong,창용
Chas,찰스
Chase,체이스
Chasen,체이슨
Cheol-won,철원
Chi-guk,치국
Chi-hong,치홍
Chi-young,치영
Chris,크리스
Christian,크리스찬
Christopher,크리스토퍼
Chung-myung,충명
Chung-yun,충연
Cionel,시오넬
CJ,CJ
Clarke,클락
Clay,클레이
Clayton,클레이튼
Coby,코비
Cody,코디
Colby,콜비
Cole,콜
Colin,콜린
Colson,콜슨
Colt,콜트
Colton,콜턴
Connelly,코넬리
Connor,코너
Cooper,쿠퍼
Corbin,코빈
Corey,코리
Craig,크레이그
Cristian,크리스티안
Cristopher,크리스토퍼
Curtis,커티스
Da-hoon,다훈
Da-hyun,다현
Da-kyeol,다결
Da-min,다민
Da-on,다온
Dae-han,대한
Dae-ho,대호
Dae-hyeon,대현
Dae-hyun,대현
Dae-in,대인
Dae-sun,대선
Dae-won,대원
Dae-yu,대유
Dalton,달튼
Dane,데인
Daniel,대니얼
Danny,대니
Dansby,댄스비
Darell,다렐
Daulton,돌튼
David,데이비드
Davis,데이비스
Daylen,데이레
Daysbel,다이스벨
Daz,대즈
Dean,딘
Dedniel,데드니엘
Deivi,데이비
Dennis,데니스
Denzel,덴젤
Deok-joo,덕주
Derek,데릭
Devin,devin
Didier,디디에
Dietrich,디트리히
Dillon,딜런
DJ,DJ
DL,DL
Do-bin,도빈
Do-geun,도근
Do-gyu,도규
Do-hoon,도훈
Do-hwan,도환
Do-hyun,도현
Do-woo,도우
Do-yoon,도윤
Do-young,도영
Dominic,도미닉
Dong-geon,동건
Dong-gyu,동규
Dong-ha,동하
Dong-hee,동희
Dong-heon,동헌
Dong-hoon,동훈
Dong-hwan,동환
Dong-hyuk,동혁
Dong-hyun,동현
Dong-jae,동재
Dong-jin,동진
Dong-joo,동주
Dong-joon,동준
Dong-kyu,동규
Dong-soo,동수
Dong-won,동원
Dong-wook,동욱
Dong-yoon,동윤
Dong-young,동영
Donovan,도노반
Doo-hyun,두현
Doo-sol,두솔
Drake,드레이크
Drew,드류
Du-sung,두성
Dustin,더스틴
Dylan,딜런
Edgar,에드가
Edgardo,에드가도
Edmundo,에드문도
Edouard,에두아르
Eduard,에두아르드
Eduardo,에두아르도
Edward,에드워드
Edwin,에드윈
Eguy,에구이
Eli,엘리
Elly,엘리
Elvin,엘빈
Elvis,엘비스
Emerson,에머슨
Emilio,에밀리오
Emmet,에멧
Enmanuel,엔마누엘
Enrique,엔리케
Enyel,엔옐
Eric,에릭
Erick,에릭
Erik,에릭
Ernie,어니
Esteury,에스테우리
Ethan,이천
Eugenio,에우헤니오
Eui-ji,의지
Eui-joon,의준
Eui-lee,의리
Eui-san,의산
Eun-seong,은성
Eun-won,은원
Eury,에우리
Evan,에반
Everson,에버슨
Ezequiel,에세키엘
Felix,펠릭스
Fernando,페르난도
