last_name,korean
Abbott,애벗
Abel,에이벨
Abrams,에이브람스
Abreu,아브레유
Acosta,아코스타
Acuna,아쿠냐
Acuna Jr.,아쿠냐 주니어
Adam,애덤
Adames,아다메스
Adams,애덤스
Adell,아델
Agnos,아그노스
Ahn,안
Akin,에이킨
Albies,알비스
Alcantara,알칸타라
Alexander,알렉산더
Allen,앨런
Alonso,알론소
Altuve,알투베
Alvarado,알바라도
Alvarez,알바레즈
Anderson,앤더슨
Andujar,안두하르
Anthony,앤서니
Aranda,아란다
Arenado,아레나도
Arias,아리아스
Armstrong,암스트롱
Arozarena,아로사레나
Arraez,아라에스
Ashby,애쉬비
Ashcraft,애쉬크래프트
Austin,오스틴
Bachar,바샤르
Bachman,백맨
Backhus,백허스
Baddoo,바두
Bader,베이더
Bae,배
Baek,백
Baez,바에즈
Bailey,베일리
Baker,베이커
Baldwin,볼드윈
Ballesteros,발레스테로스
Banda,반다
Banks,뱅크스
Barco,바코
Barger,바거
Barlow,바를로
Barrosa,바로나
Bart,바트
Basallo,바살로
Bassitt,배시트
Baty,베이티
Bauers,바우어스
Bautista,바우티스타
Baz,바스
Bazardo,바자르도
Beasley,비즐리
Beavers,비버스
Beck,벡
Bednar,베드나르
Beeks,비크스
Beeter,비터
Bell,벨
Bellinger,벨린저
Bello,베요
Bender,벤더
Benge,벤지
Benintendi,베닌텐디
Benson,벤슨
Berrios,베리오스
Berroa,베로아
Betts,베츠
Bibee,바이비
Bichette,비셋
Bido,비도
Bieber,비버
Bird,버드
Birdsong,버드송
Black,블랙
Blackburn,블랙번
Blanco,블랑코
Bleday,블레데이
Bliss,블리스
Blubaugh,블루보
Bogaerts,보가츠
Bohm,봄
Borucki,보러키
Boushley,보슐리
Bowlan,볼란
Boyd,보이드
Boyle,보일
Bradford,브래드포드
Bradish,브래디시
Bradley,브래들리
Brash,브래시
Brasier,브레이저
Brazoban,브라조반
Bregman,브레그먼
Brieske,브리스키
Brito,브리토
Brogdon,브로그던
Brooks,브룩스
Brown,브라운
Brubaker,브루베이커
Bruihl,브륄
Bryant,브라이언트
Bubic,뷰빅
Buehler,뷰러
Bummer,범머
Burger,버거
Burke,버크
Burleson,버클슨
Burnes,번스
Burns,번스
Burrows,버로우즈
Busch,부시
Bush,부쉬
Butler,버틀러
Butto,부토
Buxton,벅스턴
Byeon,변
Byun,변
Caballero,카바예로
Cabrera,카브레라
Caglianone,카글리아노네
Caissie,케이시
Call,콜
Cameron,카메론
Caminero,카미네로
Campusano,캠푸사노
Candelario,칸델라리오
Canning,캐닝
Cano,카노
Cantillo,칸틸로
Canzone,칸조네
Caratini,카라티니
Carlson,칼슨
Carpenter,카펜터
Carroll,캐롤
Carter,카터
Casas,카사스
Casparius,카스파리우스
Castellanos,카스텔라노스
Castillo,카스티요
Castro,카스트로
Cavalli,카발리
Cease,시즈
Cecconi,체코니
Cha,차
Chae,채
Chafin,채핀
Chandler,챈들러
Chaparro,차파로
Chapman,채프먼
Cheon,천
Chirinos,치리노스
Chisholm Jr.,치좀 주니어
Cho,조
Choi,최
Choo,추
Chourio,추리오
Chun,천
Church,처치
Civale,시발레
Clarke,클락
Cleavinger,클레비인저
